IBGE;População;Cobertura AB
120001;15020;100,00
120005;7300;100,00
120010;25848;100,00
120013;10111;100,00
120017;11456;100,00
120020;87673;100,00
120025;18122;100,00
120030;34675;79,60
120032;8159;100,00
120033;18638;100,00
120034;9336;100,00
120035;18430;93,60
120038;19565;100,00
120080;18180;94,88
120039;11720;100,00
120040;401155;59,20
120042;18504;100,00
120043;6362;100,00
120050;45177;100,00
120045;22810;100,00
120060;41976;73,97
120070;19048;100,00
270010;20162;100,00
270020;17564;100,00
270030;230417;100,00
270040;47000;100,00
270050;15792;100,00
270060;8264;100,00
270070;18455;100,00
270080;4406;100,00
270090;6696;100,00
270100;27168;100,00
270110;10529;100,00
270120;10730;100,00
270130;21194;100,00
270135;6918;100,00
270140;56579;100,00
270150;9549;100,00
270160;17726;100,00
270170;17124;100,00
270180;9000;100,00
270190;7319;100,00
270200;10744;100,00
270210;21575;100,00
270220;5826;100,00
270230;56562;100,00
270235;24129;100,00
270240;51763;53,32
270250;11054;100,00
270255;18153;100,00
270260;22152;100,00
270270;4729;100,00
270280;12773;100,00
270290;40588;100,00
270300;15606;100,00
270310;25649;100,00
270320;24408;100,00
270330;18378;93,86
270340;5288;100,00
270350;7036;100,00
270360;8317;100,00
270370;5597;100,00
270375;11624;100,00
270380;23903;100,00
270390;4175;100,00
270400;24731;100,00
270410;17934;100,00
270420;28495;100,00
270430;1012382;42,67
270440;19891;100,00
270490;3534;100,00
270450;32369;100,00
270460;9326;100,00
270470;51364;100,00
270480;13337;100,00
270500;25226;82,06
270510;24649;100,00
270520;17676;100,00
270530;5337;100,00
270540;7153;100,00
270550;28137;100,00
270560;12615;100,00
270570;21437;100,00
270580;9303;100,00
270590;5117;100,00
270600;11591;100,00
270610;11456;100,00
270620;4985;100,00
270630;73096;100,00
270640;24446;100,00
270642;10527;100,00
270644;13016;100,00
270650;15232;100,00
270660;7568;100,00
270670;63516;100,00
270680;17805;100,00
270690;35008;100,00
270700;2911;100,00
270710;24891;97,02
270720;14354;96,14
270730;27079;100,00
270740;7873;100,00
270750;20018;100,00
270760;11342;100,00
270770;74838;92,20
270780;6680;100,00
270790;7272;100,00
270800;47486;79,92
270810;10755;100,00
270820;6953;100,00
270830;23855;100,00
270840;32111;100,00
270850;34415;100,00
270860;60775;100,00
270870;7888;100,00
270880;34011;100,00
270890;13716;100,00
270895;13818;100,00
270900;6187;100,00
270910;19886;100,00
270915;43960;100,00
270920;27632;100,00
270930;65461;88,91
270940;25773;100,00
130002;15860;87,01
130006;11332;60,89
130008;13269;100,00
130010;20538;100,00
130014;21583;100,00
130020;19438;100,00
130030;38830;100,00
130040;27364;88,25
130050;31593;98,28
130060;42020;88,17
130063;19258;35,83
130068;18781;100,00
130070;33976;90,06
130080;40565;76,54
130083;12877;100,00
130090;15450;100,00
130100;28076;84,41
130110;37384;100,00
130115;29595;100,00
130120;84272;94,16
130130;28100;73,67
130140;34840;89,12
130150;19668;100,00
130160;18221;100,00
130165;16416;100,00
130170;54001;83,05
130180;28933;73,41
130185;47571;100,00
130190;99955;100,00
130195;7888;100,00
130200;9064;100,00
130210;3265;100,00
130220;14312;100,00
130230;14753;100,00
130240;45245;98,13
130250;96236;91,81
130255;31147;65,01
130260;2145444;51,68
130270;54907;75,40
130280;18186;100,00
130290;62755;93,46
130300;20899;100,00
130310;36721;100,00
130320;18974;100,00
130330;25237;54,68
130340;113168;98,08
130350;19329;92,35
130353;35352;100,00
130356;32577;100,00
130360;24436;70,59
130370;21966;100,00
130380;44816;53,89
130390;38515;100,00
130395;13685;100,00
130400;9110;100,00
130406;64488;79,55
130410;17299;100,00
130420;60154;100,00
130423;18610;100,00
130426;13387;100,00
130430;16383;100,00
130440;22537;100,00
160010;9029;100,00
160020;10926;100,00
160021;5864;100,00
160023;7591;100,00
160025;5387;100,00
160027;49446;100,00
160030;493634;55,11
160040;21206;97,61
160050;26627;77,74
160015;15931;64,97
160053;21484;96,49
160055;4993;100,00
160060;119610;96,14
160005;5306;100,00
160070;16855;81,87
160080;15605;100,00
290010;8767;100,00
290020;19814;100,00
290030;15129;100,00
290035;16784;82,22
290040;16901;100,00
290060;4478;100,00
290070;150832;75,18
290080;22449;100,00
290090;5566;100,00
290100;37031;93,17
290110;25224;95,74
290115;16097;100,00
290120;18194;100,00
290130;13153;100,00
290135;14690;100,00
290140;14017;98,45
290150;11142;100,00
290160;19093;100,00
290170;11691;100,00
290180;11715;100,00
290190;17673;100,00
290195;7360;100,00
290205;12143;100,00
290200;13229;78,24
290210;54099;95,55
290220;11332;100,00
290225;11079;100,00
290230;8813;100,00
290240;11774;100,00
290250;13824;100,00
290260;20488;67,36
290265;13217;100,00
290270;53231;77,77
290280;20813;100,00
290290;32018;100,00
290300;13900;100,00
290310;5821;100,00
290320;153831;73,44
290323;14802;100,00
290330;5743;100,00
290327;15846;100,00
290340;23214;100,00
290350;17317;100,00
290360;15975;100,00
290370;12953;100,00
290380;18622;100,00
290390;68609;100,00
290395;9942;100,00
290400;14288;96,58
290405;16637;100,00
290410;21520;80,16
290420;10300;100,00
290430;14370;100,00
290440;10493;100,00
290450;10341;100,00
290460;67048;97,77
290470;18391;100,00
290475;21067;98,26
290480;7043;100,00
290485;18698;100,00
290490;33861;100,00
290500;23045;100,00
290510;9372;100,00
290515;15524;100,00
290520;50861;75,79
290530;18356;100,00
290540;17913;100,00
290550;13260;78,05
290560;31968;100,00
290570;293723;82,53
290580;35248;88,09
290590;28844;100,00
290600;70912;100,00
290610;9719;100,00
290620;26020;100,00
290630;31301;99,20
290640;8338;100,00
290650;86677;75,63
290660;14268;72,54
290670;25332;100,00
290680;34784;100,00
290682;16752;100,00
290685;11660;100,00
290687;30451;90,64
290689;9107;100,00
290690;21937;100,00
290700;9240;100,00
290710;28965;95,29
290720;71366;97,36
290730;26209;100,00
290740;3555;100,00
290750;54424;95,09
290755;9340;100,00
290760;17252;100,00
290770;11154;100,00
290780;33356;100,00
290790;17097;100,00
290800;17458;100,00
290810;18746;100,00
290820;22392;100,00
290830;17332;100,00
290840;66191;78,18
290850;32909;100,00
290860;25630;100,00
290870;17319;100,00
290880;4086;100,00
290890;22719;100,00
290900;8585;100,00
290910;14240;100,00
290920;15801;100,00
290930;32081;100,00
290940;13796;100,00
290950;5349;100,00
290960;21040;100,00
290970;13872;100,00
290980;62871;71,34
290990;34389;100,00
291000;10906;100,00
291005;79685;86,25
291010;12155;100,00
291020;4050;100,00
291030;8119;100,00
291040;17593;100,00
291050;41654;91,11
290050;10662;100,00
291060;36882;74,83
291070;59842;100,00
291072;112318;100,00
291075;17601;100,00
291077;5668;100,00
291080;609913;77,40
291085;16410;100,00
291090;5604;100,00
291100;10686;100,00
291110;25311;100,00
291120;32202;100,00
291125;4487;100,00
291130;11206;100,00
291140;15208;100,00
291150;7276;100,00
291160;20679;100,00
291165;7239;100,00
291170;84014;100,00
291180;20991;100,00
291185;13076;100,00
291190;24496;100,00
291200;9427;100,00
291210;22014;100,00
291220;19346;100,00
291230;16162;100,00
291240;18097;100,00
291250;14856;100,00
291260;4043;85,33
291270;23343;100,00
291280;8581;100,00
291290;15760;100,00
291300;16272;100,00
291310;17150;80,47
291320;26846;100,00
291330;6194;100,00
291340;15630;100,00
291345;13367;100,00
291350;26868;89,88
291360;164844;69,57
291370;39499;100,00
291380;14625;100,00
291390;45823;96,89
291400;59763;69,27
291410;9817;100,00
291420;7243;100,00
291430;8893;100,00
291440;24942;100,00
291450;28892;100,00
291460;72386;100,00
291465;30413;100,00
291470;64325;96,54
291480;212740;82,57
291490;27891;100,00
291500;15999;100,00
291510;12462;100,00
291520;14712;70,35
291530;6914;100,00
291535;14311;96,43
291540;6770;100,00
291550;20587;100,00
291560;64521;100,00
291570;8069;100,00
291580;23358;100,00
291590;6445;100,00
291600;19499;100,00
291610;22114;100,00
291620;9008;100,00
291630;10306;100,00
291640;75470;63,40
291650;35256;100,00
291660;10328;100,00
291670;8288;100,00
291680;19646;100,00
291685;14432;100,00
291690;12624;100,00
291700;36063;95,67
291710;20375;100,00
291720;18889;100,00
291730;28457;96,99
291733;10969;94,36
291735;8496;100,00
291740;14834;100,00
291750;80394;100,00
291760;54163;95,54
291770;33385;93,01
291780;18588;100,00
291790;10691;96,81
291800;155800;86,13
291810;40232;100,00
291820;14516;100,00
291830;11540;100,00
291835;24964;82,92
291840;215183;99,91
291845;9272;100,00
291850;15307;100,00
291855;5902;100,00
291860;6406;100,00
291870;3757;100,00
291875;15555;100,00
291880;23638;100,00
291890;3934;100,00
291900;3808;90,60
291905;8546;100,00
291910;8430;100,00
291915;27170;100,00
291920;195095;82,27
291930;11315;100,00
291940;12406;100,00
291950;45388;91,21
291955;84753;69,20
291960;11364;100,00
291970;18592;92,78
291980;49474;96,72
291990;7862;100,00
291992;20737;100,00
291995;3577;100,00
292000;10016;68,89
292010;18753;100,00
292020;16830;100,00
292030;8430;100,00
292040;13397;100,00
292045;13546;100,00
292050;21295;100,00
292060;44555;100,00
292070;20518;100,00
292080;10434;100,00
292090;13931;100,00
292100;46014;97,47
292105;12116;100,00
292110;22659;100,00
292120;26159;92,32
292130;11009;100,00
292140;18195;100,00
292145;8844;100,00
292150;49565;100,00
292160;8542;100,00
292170;35383;100,00
292180;12031;100,00
292190;9244;100,00
292200;41221;100,00
292205;11114;100,00
292210;26575;90,87
292220;7399;100,00
292225;11280;100,00
292230;29387;100,00
292240;22156;100,00
292250;28451;100,00
292260;13914;100,00
292265;13095;100,00
292270;16451;100,00
292273;7802;100,00
292275;6631;100,00
292280;8172;100,00
292285;9115;100,00
292290;24493;100,00
292300;42950;96,39
292303;12241;100,00
292305;15380;100,00
292310;28152;85,78
292320;21838;100,00
292330;8557;100,00
292335;17389;100,00
292340;21703;77,41
292350;8961;100,00
292360;21518;100,00
292370;31853;97,48
292380;28956;83,40
292390;9981;100,00
292400;117014;67,81
292405;13601;100,00
292410;7298;100,00
292420;17486;100,00
292430;17269;100,00
292440;34486;50,02
292450;16234;100,00
292460;20204;100,00
292465;10482;98,74
292467;10007;100,00
292470;10952;100,00
292480;24538;98,42
292490;9272;100,00
292500;26092;100,00
292510;46862;100,00
292520;39045;100,00
292525;15012;100,00
292530;146625;100,00
292540;7549;100,00
292550;28152;100,00
292560;15121;100,00
292570;12505;100,00
292575;27422;100,00
292580;25445;81,35
292590;27533;75,18
292593;8990;100,00
292595;22610;100,00
292600;41200;95,61
292610;14295;100,00
292620;22343;100,00
292630;33403;82,63
292640;35240;88,11
292650;14843;69,73
292660;52956;78,18
292665;6304;100,00
292670;13048;100,00
292680;15289;100,00
292690;11645;100,00
292700;40475;76,71
292710;9213;97,36
292720;30767;100,00
292730;15463;100,00
292740;2857329;42,08
292750;20694;100,00
292760;14088;100,00
292770;27626;100,00
292780;6354;100,00
292790;10656;100,00
292805;12751;100,00
292810;39920;100,00
292840;28192;100,00
292850;10345;100,00
292800;37158;83,56
292820;26517;78,06
292830;8920;100,00
292860;59512;69,57
292870;100605;87,55
292880;52413;90,44
292890;33193;100,00
292895;9042;100,00
292910;21069;98,25
292900;14717;100,00
292905;15310;100,00
292920;39338;100,00
292925;18798;100,00
292930;37139;92,89
292935;5710;100,00
292937;10417;100,00
292940;11645;100,00
292950;44164;100,00
292960;17387;100,00
292970;19644;100,00
292975;11978;100,00
292980;12883;100,00
292990;43941;61,79
293000;11351;100,00
293010;78588;75,77
293020;40703;76,28
293015;31532;100,00
293030;17452;100,00
293040;15064;100,00
293050;80411;91,44
293060;13347;100,00
293070;132906;64,44
293075;12965;100,00
293076;10316;100,00
293077;22806;100,00
293080;16905;100,00
293090;12517;100,00
293100;20416;100,00
293105;17285;100,00
293110;7909;100,00
293120;20889;99,10
293130;17046;80,96
293135;158445;89,27
293140;7493;100,00
293150;22479;100,00
293160;14860;100,00
293170;12965;100,00
293180;16608;100,00
293190;50568;88,57
293200;24486;100,00
293210;19914;86,62
293220;19275;100,00
293230;26795;90,13
293240;13884;100,00
293245;19034;72,50
293250;19484;100,00
293260;16651;100,00
293270;20630;100,00
293280;19098;72,26
293290;95858;72,39
293300;28130;98,12
293305;14087;100,00
293310;9130;75,58
293315;12772;100,00
293317;8895;100,00
293320;42706;96,94
293325;6258;100,00
293330;338885;60,60
293340;9347;100,00
293345;12299;100,00
293350;21228;100,00
293360;46440;93,73
230010;11663;100,00
230015;16639;100,00
230020;62557;100,00
230030;53931;100,00
230040;17303;100,00
230050;11529;100,00
230060;7521;100,00
230070;17096;100,00
230075;43131;100,00
230080;7328;94,16
230090;14814;100,00
230100;79563;100,00
230110;74084;100,00
230120;26455;100,00
230125;10901;100,00
230130;21550;100,00
230140;11346;100,00
230150;7836;88,06
230160;23417;100,00
230170;24699;100,00
230180;6272;100,00
230185;18151;100,00
230190;60155;100,00
230195;21104;100,00
230200;22593;100,00
230205;14989;100,00
230210;35575;100,00
