PMATPUB_EF;PMATPUB_EM;DIST_EF_PUB;DIST_EM_PUB;IDEB_AI;IDEB_AF;DOCSUP_EF_PUB;DOCSUP_EM_PUB;TXMOINF;TXBRUTAMORT;TXCOBPLP;PINTERSAP;PINTERDRSAI;REN_TRPCBF_D;REN_TRPCBPC_D;PDEFAGUA;PDEFESGOTO;PDEFLIXO;PDEFSAN;PPOB_POS;PBF;SNIS_PAGUA;PFOCOS;POP_TOT;NOME;IBGE;estado;municipio;data;casosAcumulado;obitosAcumulado;interior/metropolitana;Região;Porte;Capital;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FUND15A17;R1040;RDPC;RDPC1;RDPC4;RMPOB;RPOB;PMPOB;PPOB;GINI;POP;POPTOT;IDHM_E;IDHM_L;IDHM_R;IDHM;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
100.0;100.0;19.9;25.1;6.2;4.8;58.1;61.7;14.12;5.39;6.01;41.53;4.64;79.3;142.56;80.81;93.09;53.62;50.15;84.71;66.31;73.27;0.52;25437;Alta Floresta D'Oeste;110001;RO;Alta Floresta D'Oeste;2020-11-01;903;11;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.9958;-11.9287;3387;2049;1969;2489;3433;3478;4629;4689;4710;3591;3717;3270;2617
89.42;95.84;20.2;31.4;5.5;4.9;63.4;64.8;13.34;4.68;7.06;25.15;2.23;41.87;178.73;64.66;89.42;14.74;13.47;79.91;57.66;94.81;0.78;107345;Ariquemes;110002;RO;Ariquemes;2020-11-01;5840;99;0;Região Norte;Médio;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.033;-9.9061;3067;2026;1878;2100;3079;3018;4411;4308;3992;3290;3377;2837;2482
100.0;100.0;11.8;27.8;6.1;5.1;73.5;60.7;0.0;4.66;3.31;47.04;7.47;36.76;103.04;64.37;40.09;40.23;17.92;75.32;47.87;85.8;0.06;6224;Cabixi;110003;RO;Cabixi;2020-11-01;137;5;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-60.5446;-13.4951;3831;2849;2476;2989;4176;4074;4885;5067;4882;3656;3964;3677;3276
82.46;80.47;14.0;28.8;6.3;5.1;60.8;54.2;9.64;5.66;9.07;23.99;2.05;29.62;156.91;26.36;56.03;22.47;20.7;76.88;47.86;100.0;0.18;88507;Cacoal;110004;RO;Cacoal;2020-11-01;2534;35;0;Região Norte;Médio;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.4566;-11.4347;3374;1963;1927;2478;3383;3555;4754;4876;4593;3455;3608;3244;2650
96.31;97.47;15.5;26.9;6.4;5.3;65.8;39.2;3.61;4.52;3.81;37.16;6.46;44.39;172.7;68.13;91.35;11.01;10.22;68.43;46.38;64.95;0.49;17934;Cerejeiras;110005;RO;Cerejeiras;2020-11-01;276;6;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-60.8173;-13.1874;3744;2676;2490;3000;3854;3994;4892;4941;4796;3615;3876;3633;3160
96.5;100.0;12.6;18.6;6.4;5.0;65.9;66.0;20.58;4.6;6.34;34.49;7.86;20.44;170.99;31.13;95.26;22.3;19.3;63.52;37.19;100.0;0.02;18467;Colorado do Oeste;110006;RO;Colorado do Oeste;2020-11-01;251;4;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-60.5459;-13.1178;3565;2386;2159;2619;3618;3829;4823;5020;4911;3547;3593;3399;2870
100.0;100.0;21.3;31.5;5.7;4.4;55.1;66.8;22.99;3.7;1.47;20.66;2.02;72.8;67.05;75.76;69.03;57.39;49.68;83.85;57.84;76.11;0.16;8659;Corumbiara;110007;RO;Corumbiara;2020-11-01;48;3;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-60.9421;-12.9982;3660;2481;2365;2718;3725;3923;4915;5016;4888;3557;3749;3551;3035
100.0;100.0;26.4;37.2;4.8;5.0;42.7;51.6;32.41;3.39;1.75;31.36;3.58;147.47;97.13;58.68;35.14;32.91;20.78;95.16;87.42;30.27;0.75;17400;Costa Marques;110008;RO;Costa Marques;2020-11-01;326;6;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-64.2284;-12.4371;3505;2563;2280;2563;3562;3286;4430;4669;4627;3671;3761;3590;3059
96.22;95.33;15.5;32.7;6.1;5.2;62.3;63.6;7.5;4.33;4.83;39.23;8.04;50.89;164.3;71.17;95.82;35.95;31.42;78.42;58.97;60.41;0.15;33030;Espigão D'Oeste;110009;RO;Espigão D'Oeste;2020-11-01;611;12;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.0256;-11.527;3442;2258;2082;2534;3340;3610;4821;4858;4598;3481;3715;3316;2699
93.03;91.25;27.8;38.0;4.9;4.4;39.7;45.9;21.38;4.8;4.66;36.84;6.88;88.45;269.03;71.81;47.92;32.4;24.56;88.24;71.31;48.65;0.74;47451;Guajará-Mirim;110010;RO;Guajará-Mirim;2020-11-01;3043;90;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-65.33;-10.7893;3333;2346;2221;2227;3213;3173;4182;4500;4607;3674;3771;3211;2868
