"perc_matricula_epf";"perc_matricula_epm";"tx_distorcao_idade_serie_epf";"tx_distorcao_idade_serie_epm";"ideb_ai_ef";"ideb_ai_em";"perc_docente_epf";"perc_docente_epm";"tx_mortalidade_infantil";"tx_mortalidade_bruta";"perc_pop_cobertura_plano_saude";"perc_internacao_falha_aps";"perc_internacao_falha_saneamento";"vl_per_capita_bolsa_familia";"vl_per_capita_beneficio_prestacao_continuada";"perc_pop_cadunico_sem_abastecimento_agua";"perc_pop_cadunico_sem_esgotamento_sanitario";"perc_pop_cadunico_sem_coleta_lixo";"perc_pop_cadunico_sem_saneamento";"perc_pop_pobre_cadunico";"perc_pop_cadunico_bolsa_familia";"perc_pop_urbana_com_abastecimento_agua";"perc_participacao_queimadas_brasil";"cobertura_ab";"incidencia";"letalidade";"label"
100;100;19,9;25,1;6,2;4,8;58,1;61,7;14,12;5,39;6,01;41,53;4,64;79,3;142,56;80,81;93,09;53,62;50,15;84,71;66,31;73,27;0,52;100;3549,94692770374;1,21816168327796;"Grave"
89,42;95,84;20,2;31,4;5,5;4,9;63,4;64,8;13,34;4,68;7,06;25,15;2,23;41,87;178,73;64,66;89,42;14,74;13,47;79,91;57,66;94,81;0,78;60,89;5440,40244072849;1,69520547945205;"Grave"
100;100;11,8;27,8;6,1;5,1;73,5;60,7;0;4,66;3,31;47,04;7,47;36,76;103,04;64,37;40,09;40,23;17,92;75,32;47,87;85,8;0,06;100;2201,15681233933;3,64963503649635;"Grave"
82,46;80,47;14;28,8;6,3;5,1;60,8;54,2;9,64;5,66;9,07;23,99;2,05;29,62;156,91;26,36;56,03;22,47;20,7;76,88;47,86;100;0,18;85,78;2863,05038019592;1,38121546961326;"Grave"
96,31;97,47;15,5;26,9;6,4;5,3;65,8;39,2;3,61;4,52;3,81;37,16;6,46;44,39;172,7;68,13;91,35;11,01;10,22;68,43;46,38;64,95;0,49;83,92;1538,9762462362;2,17391304347826;"Moderado"
96,5;100;12,6;18,6;6,4;5;65,9;66;20,58;4,6;6,34;34,49;7,86;20,44;170,99;31,13;95,26;22,3;19,3;63,52;37,19;100;0,02;85,04;1359,18124221584;1,59362549800797;"Moderado"
100;100;21,3;31,5;5,7;4,4;55,1;66,8;22,99;3,7;1,47;20,66;2,02;72,8;67,05;75,76;69,03;57,39;49,68;83,85;57,84;76,11;0,16;100;554,33652846749;6,25;"Grave"
100;100;26,4;37,2;4,8;5;42,7;51,6;32,41;3,39;1,75;31,36;3,58;147,47;97,13;58,68;35,14;32,91;20,78;95,16;87,42;30,27;0,75;96,61;1873,5632183908;1,84049079754601;"Moderado"
96,22;95,33;15,5;32,7;6,1;5,2;62,3;63,6;7,5;4,33;4,83;39,23;8,04;50,89;164,3;71,17;95,82;35,95;31,42;78,42;58,97;60,41;0,15;75,36;1849,83348471087;1,96399345335516;"Moderado"
93,03;91,25;27,8;38;4,9;4,4;39,7;45,9;21,38;4,8;4,66;36,84;6,88;88,45;269,03;71,81;47,92;32,4;24,56;88,24;71,31;48,65;0,74;82,89;6412,93123432594;2,95760762405521;"Grave"
95,39;93,82;18,9;28;6,1;5,2;65,8;56,6;8,27;4,78;5,39;30,79;1,61;47,53;240,06;72,68;96,81;23,09;22,5;78,42;54,91;62,75;0,06;100;3551,03721071755;1,4616935483871;"Grave"
91,44;92,26;16,7;24,5;6,2;4,8;68,8;51,6;11,22;5,16;10,17;24,05;2;29,75;218,65;54,57;72,93;12,11;9,52;69,74;33,17;68,89;0,18;72,83;2621,60145326268;2,47268545140886;"Grave"
97,24;98,36;29,7;38,1;5,2;4,8;59,8;33;6,68;3,57;1,76;30,41;4,51;61,47;136,34;72,65;95,93;55,78;53,42;86,61;60,98;65,91;4,34;61,77;4068,99945608537;0,63653723742839;"Grave"
100;100;16;36;7,2;6;73,1;56,7;0;3,77;1,79;47,54;15,04;83,94;122,44;79,35;97,47;64,14;62,13;81,35;59,84;88,95;0,11;67,45;1568,03237228123;1,17302052785924;"Moderado"
95,03;98,42;19,6;35,2;5,8;5;76,1;61,5;5,19;5,76;7,35;31,26;4,1;28,76;259,23;48,97;85,81;18,89;17,16;65,49;35,99;82,72;1;100;2562,94172388642;2,55152109911678;"Grave"
95,63;97,33;18,1;34,2;6,2;4,8;57,8;57,1;14,63;5,1;8,84;38,94;7,97;33,39;209,33;34,5;95,19;18,42;17,12;69,77;45,3;90,94;0,86;66,28;1842,26432945258;1,85449358059914;"Moderado"
86,45;90,11;25,1;38,4;5,3;4,5;68,4;58,1;13,75;4,41;16,97;12,53;0,93;53,64;206,64;58,88;47,06;10,81;8,11;78,49;56,4;34,85;13,62;60,17;6334,94790503546;2,32176502765453;"Grave"
100;100;16,5;26,8;6,3;5,4;69;60,3;38,06;6,69;5,98;26,86;1,52;122,73;194,01;63,85;73,5;34,04;25,26;74,79;61,27;87,46;0,04;100;2490,50804556138;1,81488203266788;"Moderado"
100;100;30;32;5,1;4,5;69,1;46,4;0;2,35;2,35;33,71;7,07;78,24;80,03;83,4;56,34;65,67;44,31;86,66;65,11;52,07;0,42;100;3342,90937581614;0;"Grave"
96,06;96,17;17;32,6;6,4;5,3;74,2;55,3;5,19;4,61;5,11;29,53;4,24;25,85;199,99;41,97;75,89;14,56;12,74;73,63;43,63;100;0,06;100;3099,48487927953;1,30016958733748;"Grave"
100;100;15,9;19,7;6,8;5,5;68,3;67,8;8,93;5;2,67;37,69;14,7;61,87;118,22;71,07;99,96;45,92;45,1;72,73;52,13;78,97;0,03;100;1902,90314710905;0,641025641025641;"Moderado"
90,43;90,62;13,9;29,8;5,9;4,9;73,7;64,7;15,02;4,61;11,29;18,24;1,88;42,27;182,91;3,64;47,5;5,43;2,11;77,38;54,36;95,15;0,88;88,51;4243,43825159469;1,62641695416461;"Grave"
97,87;100;14,3;25;5,7;5,3;64,9;63,5;16,13;3,43;1,91;31,2;3,05;49,97;113,45;94,99;97,76;53,58;52,76;75,88;50,51;42,02;0,63;61,49;3775,69165874033;1,75246440306681;"Grave"
97,35;100;26,3;33,7;5,2;4;43,4;41,6;18,48;4,26;1,28;34,4;5,36;74,27;158,19;97,09;86,59;53,17;47,24;84,93;57,24;16,66;5,3;46,38;4305,83918867467;0,562700964630225;"Grave"
100;100;18;24;5,8;4,8;58,5;31,4;16,85;4,84;3,67;36,06;3,37;101,52;155,7;52,14;40,68;44,24;28,73;81,51;65,85;99,91;0,1;46,87;907,625246312772;4,60526315789474;"Grave"
99,77;100;22,8;30,4;5,8;4,4;74,2;54;11,63;3,84;0,89;49,95;20,15;71,81;52,46;89,3;98,01;57,67;55,87;86,36;69,14;76,95;0,24;100;1502,31399074404;4,2654028436019;"Grave"
